alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-sh	synthetic	1000	10000	0.05	0	9	2.1661	0:00:02	10.89	21.77	3.36	3.91	0.00	0.00	69.26	1.98	ok	1000	10000	9999	0.00	SH	9	0	1	0	Zero	1081	750	750	14037	15571	11453	14	3297	722	0	1.56	2.13	0.92	0.45	1.29	0.00	0.39	441	331	1053
cp-csh	synthetic	1000	10000	0.05	0	9	2.3993	0:00:02	10.55	21.81	3.45	3.95	0.00	0.00	64.19	2.01	ok	1000	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	809	809	13536	14979	11096	14	38	751	638	1.50	2.35	0.87	0.51	1.43	0.24	0.40	441	350	1091
cp-sh	synthetic	333	30000	0.05	0	9	2.7706	0:00:02	12.51	23.95	5.54	6.27	0.00	0.00	72.91	2.51	ok	333	30000	30001	0.00	SH	9	0	1	0	Zero	3078	2157	2157	43564	48366	35330	42	15183	2007	0	1.61	8.20	1.76	1.79	4.48	0.00	1.94	1323	921	2929
cp-csh	synthetic	333	30000	0.05	0	9	3.1466	0:00:03	11.64	22.78	4.35	5.22	0.00	0.00	81.67	3.05	ok	333	30000	30001	0.00	GapSeed	9	0	1	0	Zero	3333	2680	2680	40681	45021	33345	44	184	2252	1730	1.50	9.18	1.29	2.14	5.42	1.55	1.63	1323	1051	3274
cp-sh	synthetic	100	100000	0.05	0	9	4.4276	0:00:04	16.60	27.79	9.39	9.91	0.00	0.00	81.55	4.09	ok	100	100000	99998	0.00	SH	9	0	1	0	Zero	8484	6136	6136	177540	197231	139277	161	129750	5126	0	1.97	43.66	2.77	6.98	28.41	0.00	8.28	4405	2348	7474
cp-csh	synthetic	100	100000	0.05	0	9	7.4173	0:00:07	17.03	28.45	9.69	10.21	0.00	0.00	90.60	7.21	ok	100	100000	99998	0.00	GapSeed	9	0	1	0	Zero	11111	11904	11904	135933	150435	111389	146	1634	7513	4214	1.50	73.05	6.53	8.73	58.92	44.44	5.40	4405	3497	10912
cp-sh	synthetic	33	300000	0.05	0	9	20.0863	0:00:20	707.71	1055.72	700.48	701.18	0.00	0.00	74.33	15.42	timeout 20s
cp-csh	synthetic	33	300000	0.05	0	9	10.3253	0:00:10	34.87	46.86	27.55	28.25	0.00	0.00	87.45	9.50	ok	5	300000	299989	0.00	GapSeed	9	0	1	0	Zero	33333	61105	61105	408978	452763	334998	455	47842	22530	6425	1.51	2052.69	87.83	58.05	1960.86	1877.09	33.79	13230	10514	32733
cp-sh	synthetic	10	1000000	0.05	0	9	100.1902	0:01:40	2730.83	2742.82	2723.44	2723.97	0.00	0.00	74.88	75.49	timeout 100s
cp-csh	synthetic	10	1000000	0.05	0	9	100.0253	0:01:40	150.11	165.58	143.16	143.67	0.00	0.00	74.19	74.72	timeout 100s
