alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-csh	synthetic	1000	10000	0.12	0	8	9.1752	0:00:09	12.43	24.00	5.57	6.23	3.00	0.00	90.45	8.81	ok	1000	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	767	767	40022	45703	25886	157	13475	555	316	4.57	9.11	1.66	0.58	7.91	0.67	0.62	1002	679	1216
cp-sh	synthetic	1000	10000	0.14	0	8	10.4408	0:00:10	94.24	105.46	87.01	87.70	0.12	0.00	94.05	10.33	ok	17	10000	9995	0.00	SH	8	0	1	0	Zero	1167	533	533	1797640	1840371	830887	8356	845925	411	0	184.04	612.77	146.77	0.58	610.52	0.00	1.67	1144	634	1046
cp-csh	synthetic	1000	10000	0.14	0	8	10.0202	0:00:10	15.78	26.86	8.41	9.11	0.00	0.00	93.77	9.90	ok	291	10000	9998	0.00	GapSeed	8	0	1	0	Zero	1250	702	702	126008	137078	69251	614	80091	493	255	13.71	34.27	13.47	0.55	32.83	1.10	0.88	1151	746	1220
cp-sh	synthetic	1000	10000	0.01	0	9	1.4105	0:00:01	10.35	21.67	3.34	4.02	0.00	0.00	36.91	1.02	ok	1000	10000	10000	0.00	SH	9	0	1	0	Zero	1072	995	995	10556	10824	9245	0	234	988	0	1.08	1.38	0.14	0.43	0.43	0.00	0.52	91	77	1065
cp-csh	synthetic	1000	10000	0.01	0	9	1.9937	0:00:01	10.65	21.74	3.21	3.90	0.00	0.00	51.61	1.54	ok	1000	10000	10000	0.00	GapSeed	9	0	1	0	Zero	1111	1073	1073	10496	10751	9199	0	0	1026	966	1.08	1.95	0.18	0.59	0.86	0.27	0.50	91	82	1099
cp-sh	synthetic	1000	10000	0.02	0	9	1.4256	0:00:01	10.25	21.67	3.28	3.96	14.11	0.00	36.44	1.02	ok	1000	10000	10000	0.00	SH	9	0	1	0	Zero	1074	926	926	11190	11741	9649	2	606	913	0	1.17	1.39	0.20	0.44	0.60	0.00	0.35	180	148	1061
cp-csh	synthetic	1000	10000	0.02	0	9	1.9554	0:00:01	10.46	21.59	3.21	3.88	0.00	0.00	52.66	1.54	ok	1000	10000	10000	0.00	GapSeed	9	0	1	0	Zero	1111	999	999	11061	11584	9551	2	1	948	870	1.16	1.91	0.24	0.58	0.99	0.26	0.34	180	157	1097
cp-sh	synthetic	1000	10000	0.04	0	9	2.0810	0:00:02	10.53	21.67	3.31	4.01	0.00	0.00	74.01	2.05	ok	1000	10000	9999	0.00	SH	9	0	1	0	Zero	1079	804	804	12859	14034	10710	8	2098	780	0	1.40	2.04	0.21	0.44	0.96	0.00	0.64	355	275	1056
cp-csh	synthetic	1000	10000	0.04	0	9	2.3844	0:00:02	10.50	21.70	3.25	3.95	0.00	0.00	66.55	2.11	ok	1000	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	867	867	12524	13633	10465	9	14	811	707	1.36	2.34	0.27	0.54	1.23	0.27	0.56	355	291	1093
cp-sh	synthetic	1000	10000	0.06	0	9	2.5063	0:00:02	10.55	21.77	3.33	3.99	11.38	0.00	61.44	2.05	ok	1000	10000	9999	0.00	SH	9	0	1	0	Zero	1083	700	700	15593	17531	12424	21	5049	667	0	1.75	2.47	0.25	0.44	1.60	0.00	0.42	525	384	1052
cp-csh	synthetic	1000	10000	0.06	0	9	2.5705	0:00:02	10.46	21.70	3.37	4.04	0.00	0.00	60.49	2.07	ok	1000	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	754	754	14854	16669	11912	21	94	694	575	1.67	2.53	0.27	0.50	1.61	0.24	0.41	525	405	1090
cp-sh	synthetic	1000	10000	0.08	0	9	4.0343	0:00:04	10.90	22.04	3.64	4.34	16.62	0.00	76.96	3.62	ok	1000	10000	9999	0.00	SH	9	0	1	0	Zero	1087	610	610	21150	24153	15811	45	11704	572	0	2.42	3.97	0.45	0.51	2.99	0.00	0.47	689	477	1049
cp-csh	synthetic	1000	10000	0.08	0	9	3.5864	0:00:03	10.96	22.06	3.64	4.32	0.00	0.00	71.38	3.07	ok	1000	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	657	657	19341	22112	14664	44	504	596	468	2.21	3.53	0.30	0.47	2.41	0.23	0.65	689	501	1089
cp-sh	synthetic	1000	10000	0.1	0	9	8.2305	0:00:08	11.39	22.79	4.36	5.02	18.00	0.00	87.98	7.76	ok	1000	10000	10000	0.00	SH	9	0	1	0	Zero	1090	534	534	38072	43053	25473	116	32246	491	0	4.31	8.18	1.76	0.52	7.05	0.00	0.61	847	556	1048
cp-csh	synthetic	1000	10000	0.1	0	9	5.7108	0:00:05	11.59	22.77	4.35	5.03	0.00	0.00	90.18	5.66	ok	1000	10000	10000	0.00	GapSeed	9	0	1	0	Zero	1111	576	576	30879	35244	21419	96	2973	514	382	3.52	5.65	1.34	0.47	4.51	0.26	0.67	847	583	1089
cp-sh	synthetic	1000	10000	0.12	0	9	10.0495	0:00:10	20.69	31.78	13.43	14.10	0.62	0.00	92.54	9.80	ok	218	10000	10002	0.00	SH	9	0	1	0	Zero	1093	469	469	164973	176767	90065	690	161303	423	0	17.67	45.96	20.92	0.56	44.44	0.00	0.96	1001	624	1047
cp-csh	synthetic	1000	10000	0.12	0	9	10.0249	0:00:10	20.87	32.10	13.65	14.34	0.00	0.00	92.67	9.80	ok	536	10000	10000	0.00	GapSeed	9	0	1	0	Zero	1111	503	503	85836	94337	50724	353	29660	446	309	9.43	18.63	7.36	0.45	17.38	0.46	0.80	1002	655	1092
cp-sh	synthetic	1000	10000	0.14	0	9	10.1001	0:00:10	94.20	105.34	86.95	87.65	0.00	0.00	93.62	9.96	ok	17	10000	9995	0.00	SH	9	0	1	0	Zero	1094	411	411	1783078	1824374	836503	8282	776158	362	0	182.44	591.47	92.08	0.58	589.33	0.00	1.56	1144	683	1045
cp-csh	synthetic	1000	10000	0.14	0	9	10.1649	0:00:10	52.16	63.64	45.23	46.73	0.00	0.00	90.16	9.66	ok	34	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	442	442	990547	1020544	474636	4842	332526	396	252	102.05	298.40	85.37	0.52	296.53	4.61	1.34	1148	716	1099
cp-sh	synthetic	1000	10000	0.01	0	10	1.3138	0:00:01	10.24	21.64	3.23	3.93	0.25	0.00	0.00	0.80	ok	1000	10000	10000	0.00	SH	10	0	1	0	Zero	991	911	911	10593	10861	9393	0	225	906	0	1.09	1.29	0.13	0.44	0.42	0.00	0.43	91	80	987
