alg	cnt	n	e	k	m	pf	band	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	10000	100	0.05	32	0	0.8	1.365	0.3565	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	32	0	1.0	1.365	0.3753	0:00:00	2.75	7.10	0.45	0.56	0.00	0.00	0.00	0.00
pa	10000	100	0.05	32	0	1.0	1.365	0.3668	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.05	7	1	0.01	1.110	0.6837	0:00:00	8.97	20.77	3.47	3.83	0.00	0.00	0.00	0.49
pa	10000	100	0.05	7	1	0.01	1.110	0.6811	0:00:00	8.95	20.77	3.48	3.84	0.00	0.00	0.00	0.51
pa	10000	100	0.05	7	1	0.4	1.109	0.7482	0:00:00	9.10	20.77	3.47	3.84	0.00	0.00	0.00	0.50
pa	10000	100	0.05	7	1	0.4	1.109	0.7527	0:00:00	9.28	20.77	3.48	3.90	0.00	0.00	0.00	0.50
pa	10000	100	0.05	7	1	0.8	1.109	0.8089	0:00:00	8.95	20.77	3.50	3.86	0.00	0.00	0.00	0.49
pa	10000	100	0.05	7	1	0.8	1.109	0.8034	0:00:00	8.97	20.77	3.51	3.89	0.00	0.00	0.00	0.52
pa	10000	100	0.05	7	1	1.0	1.109	0.8251	0:00:00	9.10	20.77	3.48	3.90	0.00	0.00	0.00	0.50
pa	10000	100	0.05	7	1	1.0	1.109	0.8250	0:00:00	9.21	20.77	3.48	3.89	0.00	0.00	0.00	0.49
pa	10000	100	0.05	8	1	0.01	1.114	0.6156	0:00:00	8.99	20.77	3.48	3.84	0.00	0.00	0.00	0.49
pa	10000	100	0.05	8	1	0.01	1.114	0.6091	0:00:00	9.03	20.77	3.48	3.87	0.00	0.00	0.00	0.50
pa	10000	100	0.05	8	1	0.4	1.114	0.6725	0:00:00	9.12	20.77	3.46	3.85	0.00	0.00	0.00	0.49
